# KEY," Footprint","Datasheet","MFN","MFP","DigiPN","DigiPL","MouserPN","MouserPL"
RES_75_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040275R0FKED","541-75.0LCT","http://www.digikey.com/product-detail/en/CRCW040275R0FKED/541-75.0LCT-ND/1182995","_","_"
RES_82_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040282R0FKED","541-82.0LCT","http://www.digikey.com/product-detail/en/CRCW040282R0FKED/541-82.0LCT-ND/1182999","_","_"
RES_91_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040291R0FKED","541-91.0LCT","http://www.digikey.com/product-detail/en/CRCW040291R0FKED/541-91.0LCT-ND/1183005","_","_"
RES_100_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_110_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402110RFKED","541-110LCT","http://www.digikey.com/product-detail/en/CRCW0402110RFKED/541-110LCT-ND/1183013","_","_"
RES_120_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402120RFKED","541-120LCT","http://www.digikey.com/product-detail/en/CRCW0402120RFKED/541-120LCT-ND/1183017","_","_"
RES_130_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402130RFKED","541-130LCT","http://www.digikey.com/product-detail/en/CRCW0402130RFKED/541-130LCT-ND/1183021","_","_"
RES_150_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402150RFKED","541-150LCT","http://www.digikey.com/product-detail/en/CRCW0402150RFKED/541-150LCT-ND/1183027","_","_"
RES_160_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402160RFKED","541-160LCT","http://www.digikey.com/product-detail/en/CRCW0402160RFKED/541-160LCT-ND/1183030","_","_"
RES_180_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402180RFKED","541-180LCT","http://www.digikey.com/product-detail/en/CRCW0402180RFKED/541-180LCT-ND/1183036","_","_"
RES_200_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402200RFKED","541-200LCT","http://www.digikey.com/product-detail/en/CRCW0402200RFKED/541-200LCT-ND/1183041","_","_"
RES_220_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402220RFKED","541-220LCT","http://www.digikey.com/product-detail/en/CRCW0402220RFKED/541-220LCT-ND/1183045","_","_"
RES_240_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402240RFKED","541-240LCT","http://www.digikey.com/product-detail/en/CRCW0402240RFKED/541-240LCT-ND/1183050","_","_"
RES_270_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402270RFKED","541-270LCT","http://www.digikey.com/product-detail/en/CRCW0402270RFKED/541-270LCT-ND/1183056","_","_"
RES_300_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402300RFKED","541-300LCT","http://www.digikey.com/product-detail/en/CRCW0402300RFKED/541-300LCT-ND/1183061","_","_"
RES_330_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402330RFKED","541-330LCT","http://www.digikey.com/product-detail/en/CRCW0402330RFKED/541-330LCT-ND/1183066","_","_"
RES_360_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402360RFKED","541-360LCT","http://www.digikey.com/product-detail/en/CRCW0402360RFKED/541-360LCT-ND/1183071","_","_"
RES_390_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402390RFKED","541-390LCT","http://www.digikey.com/product-detail/en/CRCW0402390RFKED/541-390LCT-ND/1183075","_","_"
RES_430_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402430RFKED","541-430LCT","http://www.digikey.com/product-detail/en/CRCW0402430RFKED/541-430LCT-ND/1183080","_","_"
RES_470_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402470RFKED","541-470LCT","http://www.digikey.com/product-detail/en/CRCW0402470RFKED/541-470LCT-ND/1183085","_","_"
RES_510_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402510RFKED","541-510LCT","http://www.digikey.com/product-detail/en/CRCW0402510RFKED/541-510LCT-ND/1183089","_","_"
RES_560_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402560RFKED","541-560LCT","http://www.digikey.com/product-detail/en/CRCW0402560RFKED/541-560LCT-ND/1183094","_","_"
RES_620_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402620RFKED","541-620LCT","http://www.digikey.com/product-detail/en/CRCW0402620RFKED/541-620LCT-ND/1183100","_","_"
RES_680_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402680RFKED","541-680LCT","http://www.digikey.com/product-detail/en/CRCW0402680RFKED/541-680LCT-ND/1183104","_","_"
RES_750_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402750RFKED","541-750LCT","http://www.digikey.com/product-detail/en/CRCW0402750RFKED/541-750LCT-ND/1183109","_","_"
RES_820_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402820RFKED","541-820LCT","http://www.digikey.com/product-detail/en/CRCW0402820RFKED/541-820LCT-ND/1183113","_","_"
